Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Observation-RikkeChildrenParentRelationship.json	865	7	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	33	52	0	0	0	0	0	0	0
fsh-generated/resources/Observation-RikkeCommunication2mth.json	830	8	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	34	49	0	0	0	0	0	0	0
fsh-generated/resources/Observation-RikkeEyeContact2mth.json	727	3	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	33	45	0	0	0	0	0	0	0
fsh-generated/resources/Observation-RikkeFeedingObservationNewPeriod.json	1000	9	0	0	0	0	0	0	1	35	0	0	0	0	0	0	0	0	0	0	41	58	0	0	0	0	0	0	0
fsh-generated/resources/Observation-RikkeFeedingObservationPeriod.json	1043	4	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	43	55	0	0	0	0	0	0	0
fsh-generated/resources/Observation-RikkeFeedingObservationStatus.json	980	6	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	35	58	0	0	0	0	0	0	0
fsh-generated/resources/Observation-RikkeFeedingObservationStatus10mth.json	995	4	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	34	62	0	0	0	0	0	0	0
fsh-generated/resources/Observation-RikkeHeadCircum.json	1001	8	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	35	48	0	0	0	0	0	0	0
fsh-generated/resources/Observation-RikkeMotorFunction2mth.json	828	4	6	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	38	49	0	0	0	0	0	0	0
fsh-generated/resources/Observation-RikkeSleep2mth.json	808	7	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	33	40	0	0	0	0	0	0	0
fsh-generated/resources/Observation-RikkeSocialInteraction.json	836	11	1	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	33	52	0	0	0	0	0	0	0
fsh-generated/resources/Patient-Kirsten.json	593	6	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	30	45	0	0	0	0	0	0	0
fsh-generated/resources/Patient-Lars.json	461	9	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	29	53	0	0	0	0	0	0	0
fsh-generated/resources/Patient-Rikke.json	480	8	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	29	49	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-klgateway-children-adbb.json	4613	7	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	142	98	0	0	0	0	0	0	0
